ticker,date,stat,threshold,mu_sim,dist,p_sim,p_nb,y,p_play
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-10,2026-04-12,pts,9.5,13.069,-3.569000000000001,0.67425,0.6806750908487471,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-15,2026-04-12,pts,14.5,13.069,1.4309999999999992,0.375,0.3616118687320704,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-20,2026-04-12,pts,19.5,13.069,6.430999999999999,0.1635,0.15158742902747957,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-25,2026-04-12,pts,24.5,13.069,11.431,0.0505,0.05346269028627726,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLDBANE3-30,2026-04-12,pts,29.5,13.069,16.430999999999997,0.01525,0.016591607779684825,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-10,2026-04-12,pts,9.5,11.93525,-2.43525,0.61575,0.6172223358861186,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-15,2026-04-12,pts,14.5,11.93525,2.56475,0.32125,0.29240075775979013,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-20,2026-04-12,pts,19.5,11.93525,7.56475,0.122,0.10753048937085519,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-25,2026-04-12,pts,24.5,11.93525,12.56475,0.035,0.0330135521516528,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLFWAGNER22-30,2026-04-12,pts,29.5,11.93525,17.56475,0.0075,0.008882489404002492,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-10,2026-04-12,pts,9.5,9.9665,-0.4664999999999999,0.49025,0.48140953084374505,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-15,2026-04-12,pts,14.5,9.9665,4.5335,0.1875,0.1751374617517042,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-20,2026-04-12,pts,19.5,9.9665,9.5335,0.05925,0.048032277006668456,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLJSUGGS4-25,2026-04-12,pts,24.5,9.9665,14.5335,0.0135,0.010851438580013473,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-10,2026-04-12,pts,9.5,15.2245,-5.724500000000001,0.802,0.7746246160701553,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-15,2026-04-12,pts,14.5,15.2245,-0.7245000000000008,0.51325,0.485767775133805,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-20,2026-04-12,pts,19.5,15.2245,4.275499999999999,0.24,0.24759295918257984,1.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-25,2026-04-12,pts,24.5,15.2245,9.2755,0.08825,0.1077353112016114,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLPBANCHERO5-30,2026-04-12,pts,29.5,15.2245,14.2755,0.0275,0.0415749212843185,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-10,2026-04-12,pts,9.5,8.12675,1.3732500000000005,0.35175,0.32899452535349993,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-15,2026-04-12,pts,14.5,8.12675,6.3732500000000005,0.10325,0.08365882038496952,0.0,1.0
KXNBAPTS-26APR12ORLBOS-ORLWCARTER34-20,2026-04-12,pts,19.5,8.12675,11.37325,0.02075,0.015595623899032574,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-10,2026-04-12,reb,9.5,3.5445,5.9555,0.008,0.012256640062653479,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-2,2026-04-12,reb,1.5,3.5445,-2.0445,0.833,0.8267293071298314,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-4,2026-04-12,reb,3.5,3.5445,-0.044500000000000206,0.461,0.4552429317771114,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-6,2026-04-12,reb,5.5,3.5445,1.9554999999999998,0.17975,0.17488017860402105,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLFWAGNER22-8,2026-04-12,reb,7.5,3.5445,3.9555,0.04975,0.05123694494573938,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-2,2026-04-12,reb,1.5,3.3355,-1.8355000000000001,0.81375,0.8039370966782526,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-4,2026-04-12,reb,3.5,3.3355,0.16449999999999987,0.424,0.41636652505634175,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-5,2026-04-12,reb,4.5,3.3355,1.1644999999999999,0.25825,0.2586074949445223,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-6,2026-04-12,reb,5.5,3.3355,2.1645,0.14,0.14820139145601163,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLJSUGGS4-8,2026-04-12,reb,7.5,3.3355,4.1645,0.032,0.039975138087508855,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-10,2026-04-12,reb,9.5,6.48075,3.0192500000000004,0.141,0.16930604362688173,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-12,2026-04-12,reb,11.5,6.48075,5.01925,0.05,0.07454454004116062,0.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-4,2026-04-12,reb,3.5,6.48075,-2.9807499999999996,0.855,0.8198008389018452,1.0,1.0
KXNBAREB-26APR12ORLBOS-ORLPBANCHERO5-6,2026-04-12,reb,5.5,6.48075,-0.9807499999999996,0.6145,0.5764489191986768,1.0,1.0
