game_id,date,y,margin,total,p_sim,m_sim,t_sim,p_elo,p_const,margin_sd_sim,total_sd_sim
espn:401810753,2026-03-04,1.0,23.0,237.0,0.6843333333333333,7.448333333333333,228.27633333333333,0.9316069963412854,0.55,16.183633622342736,20.125787104000565
espn:401810754,2026-03-05,1.0,1.0,229.0,0.6023333333333334,4.223333333333334,226.578,0.7644789972204641,0.55,16.089296303926893,19.862693237994353
espn:401810755,2026-03-05,0.0,-10.0,234.0,0.5303333333333333,1.3313333333333333,230.40266666666668,0.5920497380727474,0.55,16.136012050345304,20.13706018486534
espn:401810756,2026-03-05,1.0,16.0,236.0,0.7143333333333334,9.678666666666667,226.42933333333335,0.8846964582537475,0.55,16.51655971711085,19.907310371374187
espn:401810757,2026-03-05,0.0,-2.0,228.0,0.584,3.3263333333333334,224.82366666666667,0.7982453722158056,0.55,16.49658065243286,20.533823476292852
espn:401810758,2026-03-05,1.0,8.0,222.0,0.577,2.8796666666666666,228.01166666666666,0.7321117381589733,0.55,16.297991283863446,20.47986484059133
espn:401810759,2026-03-05,1.0,15.0,227.0,0.539,1.6156666666666666,225.38766666666666,0.6129616263790282,0.55,16.5672353725324,19.818797000715143
espn:401810761,2026-03-05,1.0,7.0,233.0,0.5636666666666666,2.3726666666666665,232.39533333333333,0.5607399960650143,0.55,16.4423980273222,20.23664279359488
espn:401810762,2026-03-05,0.0,-10.0,256.0,0.4146666666666667,-3.3826666666666667,229.76333333333332,0.3849922117093641,0.55,16.370468316113893,19.94642797317076
espn:401810763,2026-03-06,1.0,20.0,220.0,0.7136666666666667,9.405,219.621,0.8862283568444324,0.55,16.32042610759086,19.433408321753546
espn:401810764,2026-03-06,0.0,-8.0,248.0,0.618,4.892333333333333,224.47433333333333,0.7665586683335657,0.55,16.28897606426574,20.106997319893946
espn:401810765,2026-03-06,1.0,7.0,205.0,0.6036666666666667,3.6703333333333332,220.23166666666665,0.7595289611556194,0.55,16.634331563232575,19.583972968277457
espn:401810766,2026-03-06,0.0,-39.0,245.0,0.4623333333333333,-1.7233333333333334,224.12533333333334,0.4136262075845712,0.55,15.911990936257963,20.030783598141024
espn:401810767,2026-03-06,1.0,2.0,234.0,0.5723333333333334,3.0893333333333333,221.70866666666666,0.6900518598564167,0.55,16.44086431899356,20.439564368047463
espn:401810768,2026-03-06,1.0,4.0,228.0,0.5513333333333333,2.193,223.67033333333333,0.7675520321779318,0.55,15.800245282906213,19.781615704711506
espn:401810769,2026-03-06,1.0,11.0,245.0,0.6273333333333333,5.281333333333333,227.57866666666666,0.9023953756918014,0.55,16.520618982215996,20.189051774552354
espn:401810770,2026-03-07,0.0,-27.0,211.0,0.6056666666666667,4.269666666666667,228.12566666666666,0.7710560657672951,0.55,16.599506415017956,20.30081791182042
espn:401810771,2026-03-07,0.0,-2.0,212.0,0.7686666666666667,11.49,222.00533333333334,0.9524086196074183,0.55,16.23742282506679,20.142144164799227
espn:401810772,2026-03-07,1.0,9.0,241.0,0.574,3.4383333333333335,229.96633333333332,0.6238684320968625,0.55,17.137800244553624,20.33466334174781
espn:401810773,2026-03-07,0.0,-3.0,243.0,0.4786666666666667,-0.997,225.48366666666666,0.2458080085877037,0.55,16.11040008814182,19.666258750006882
espn:401810774,2026-03-07,1.0,14.0,212.0,0.5666666666666667,2.618333333333333,231.995,0.7521114413293998,0.55,16.2382674739504,20.135167617876935
espn:401810775,2026-03-07,1.0,7.0,201.0,0.6476666666666666,6.487333333333333,225.658,0.8480691789444709,0.55,16.90947977384941,20.260183513482794
espn:401810776,2026-03-08,0.0,-11.0,207.0,0.5223333333333333,0.916,225.85733333333334,0.6757966466088613,0.55,16.450661911708394,20.753738126473078
espn:401810777,2026-03-08,1.0,13.0,207.0,0.43533333333333335,-2.9026666666666667,227.03066666666666,0.35388438832882146,0.55,16.18167254094033,20.18052839303823
espn:401810778,2026-03-08,1.0,11.0,231.0,0.541,1.6073333333333333,223.73933333333332,0.4534307941273826,0.55,16.31667284984561,19.531104753415484
espn:401810779,2026-03-08,1.0,30.0,214.0,0.623,4.873333333333333,225.558,0.790494578044353,0.55,15.819690964814143,19.770060765376186
espn:401810780,2026-03-08,1.0,20.0,256.0,0.6163333333333333,5.230333333333333,231.57433333333333,0.8076545629195582,0.55,16.48006714859567,19.999195181028885
espn:401810781,2026-03-08,0.0,-39.0,221.0,0.4613333333333333,-1.544,218.05666666666667,0.4482427956748099,0.55,16.114963977620302,20.06315334692486
espn:401810782,2026-03-08,1.0,25.0,265.0,0.584,3.664,223.38733333333334,0.7690955886797884,0.55,16.665686424507093,19.99953265009516
espn:401810783,2026-03-08,1.0,12.0,210.0,0.422,-3.059,222.46233333333333,0.3938812560161723,0.55,16.590846442139917,19.538984481173927
espn:401810784,2026-03-08,1.0,20.0,242.0,0.5936666666666667,3.426,228.92133333333334,0.8577991384926197,0.55,16.567111717697404,20.475525509468344
espn:401810786,2026-03-09,1.0,14.0,216.0,0.6073333333333333,4.099,226.55233333333334,0.7747552876606575,0.55,16.203801992125182,19.863633300302563
espn:401810787,2026-03-09,1.0,11.0,241.0,0.42,-3.289,227.485,0.469707114999007,0.55,16.576875831510993,20.464532937092244
espn:401810788,2026-03-09,1.0,3.0,255.0,0.647,5.89,228.85933333333332,0.8030466059777439,0.55,16.284897911869145,20.57213842933096
espn:401810789,2026-03-09,1.0,3.0,235.0,0.433,-2.7336666666666667,230.46833333333333,0.32636795877100727,0.55,16.254006682114483,20.40048195236791
espn:401810790,2026-03-09,1.0,8.0,244.0,0.5263333333333333,0.98,220.17733333333334,0.5026549756939201,0.55,15.912938132224358,19.961627010063307
espn:401810791,2026-03-10,1.0,10.0,268.0,0.555,2.007,223.555,0.7965121319099555,0.55,16.083147007556285,20.22194290863269
espn:401810792,2026-03-10,0.0,-38.0,238.0,0.281,-9.105,217.83433333333332,0.1570797715787345,0.55,16.111775455651475,19.639285999128266
espn:401810793,2026-03-10,1.0,21.0,279.0,0.7303333333333333,9.937666666666667,233.44166666666666,0.9268398836076712,0.55,16.39194257012335,20.418356052554497
espn:401810794,2026-03-10,1.0,12.0,236.0,0.651,6.440666666666667,229.16,0.8649657406785761,0.55,16.23191751526055,20.01485448360792
espn:401810795,2026-03-10,1.0,14.0,212.0,0.5446666666666666,1.8146666666666667,222.48933333333332,0.7167927664530627,0.55,15.91446883255053,20.104590343722226
espn:401810796,2026-03-10,0.0,-15.0,243.0,0.47,-1.5806666666666667,224.14866666666666,0.3752245671588386,0.55,16.52364445944726,20.276272624808424
espn:401810797,2026-03-10,1.0,9.0,241.0,0.5353333333333333,2.082333333333333,225.411,0.7370931672916615,0.55,16.611267899297218,20.60885114863676
espn:401810798,2026-03-10,0.0,-6.0,254.0,0.47433333333333333,-0.8396666666666667,228.341,0.5635103065252814,0.55,16.523819974677636,20.115335418530808
espn:401810799,2026-03-10,0.0,-2.0,204.0,0.4136666666666667,-3.788666666666667,226.67666666666668,0.3696056143398392,0.55,16.407254642044443,20.441284749795503
espn:401810800,2026-03-10,1.0,5.0,223.0,0.511,0.4493333333333333,232.08133333333333,0.6623476274229165,0.55,16.60399850103047,19.877895216099272
espn:401810801,2026-03-10,1.0,14.0,226.0,0.521,0.8113333333333334,229.924,0.5963388122217904,0.55,16.618876964330518,20.018547000219574
espn:401810802,2026-03-11,1.0,6.0,250.0,0.495,-0.49666666666666665,227.33933333333334,0.42918998891909826,0.55,16.46161157224758,20.338375538758143
espn:401810803,2026-03-11,1.0,11.0,233.0,0.5346666666666666,1.286,224.128,0.5127122177524452,0.55,16.065144589037057,19.700717821101513
espn:401810804,2026-03-11,0.0,-17.0,251.0,0.31966666666666665,-7.564333333333333,229.103,0.15802725597240916,0.55,16.65814699245454,19.90903624822993
espn:401810805,2026-03-11,1.0,36.0,222.0,0.5436666666666666,2.002,224.76133333333334,0.4490998810846555,0.55,16.231841012857004,19.52119459004039
espn:401810806,2026-03-11,0.0,-8.0,226.0,0.333,-7.117333333333334,219.11066666666667,0.15154672269924113,0.55,15.863004115096091,19.88544910788344
espn:401810807,2026-03-11,1.0,25.0,281.0,0.594,3.913,223.789,0.6970157410686338,0.55,16.0123940849997,19.79187911745623
espn:401810808,2026-03-12,1.0,22.0,240.0,0.647,5.805,227.14833333333334,0.7694293526102501,0.55,15.953692623757465,20.311367848790706
espn:401810809,2026-03-12,0.0,-15.0,231.0,0.406,-3.8266666666666667,227.03266666666667,0.13468972462032827,0.55,16.625441013365297,20.59060302392547
