game_id,date,y,margin,total,p_sim,m_sim,t_sim,p_elo,p_const,margin_sd_sim,total_sd_sim
espn:401810794,2026-03-10,1.0,12.0,236.0,0.6625,5.5315,233.3075,0.8649657406785761,0.55,13.370938925520525,20.601649054141273
espn:401810795,2026-03-10,1.0,14.0,212.0,0.546,1.73325,226.95725,0.7167927664530627,0.55,13.33002604789278,20.200852022563303
espn:401810796,2026-03-10,0.0,-15.0,243.0,0.4565,-1.33,227.9705,0.3752245671588386,0.55,13.680975842387852,20.818192278629766
espn:401810797,2026-03-10,1.0,9.0,241.0,0.54425,1.48575,228.78625,0.7370931672916615,0.55,13.681531235117655,20.81861092718484
espn:401810798,2026-03-10,0.0,-6.0,254.0,0.49725,-0.28525,232.71725,0.5635103065252814,0.55,13.824647642435593,21.295558279545055
espn:401810799,2026-03-10,0.0,-2.0,204.0,0.395,-3.212,231.0615,0.3696056143398392,0.55,13.538668915369781,20.47304857001028
espn:401810800,2026-03-10,1.0,5.0,223.0,0.49075,-0.3115,235.6565,0.6623476274229165,0.55,13.499961768464384,20.13462211589778
espn:401810801,2026-03-10,1.0,14.0,226.0,0.52825,0.8975,235.4335,0.5963388122217904,0.55,13.519966484795738,20.82263378513871
espn:401810802,2026-03-11,1.0,6.0,250.0,0.46925,-0.8705,231.8045,0.42918998891909826,0.55,13.640426303822032,20.915658721398184
espn:401810803,2026-03-11,1.0,11.0,233.0,0.538,1.115,228.6605,0.5127122177524452,0.55,13.108805246856024,19.672003958671826
espn:401810804,2026-03-11,0.0,-17.0,251.0,0.34475,-5.354,234.5335,0.15802725597240916,0.55,13.402991606354158,20.682042397935465
espn:401810805,2026-03-11,1.0,36.0,222.0,0.5565,1.7475,229.44,0.4490998810846555,0.55,13.336781611393357,20.44167067536311
espn:401810806,2026-03-11,0.0,-8.0,226.0,0.3155,-6.34675,223.69775,0.15154672269924113,0.55,13.371724437689403,20.270073875975392
espn:401810807,2026-03-11,1.0,25.0,281.0,0.6075,3.4325,228.883,0.6970157410686338,0.55,13.0557820045373,20.058260418092093
espn:401810808,2026-03-12,1.0,22.0,240.0,0.62375,4.346,232.2135,0.7694293526102501,0.55,13.42118787589236,20.587797787767393
espn:401810809,2026-03-12,0.0,-15.0,231.0,0.40525,-3.09725,231.29025,0.13468972462032827,0.55,13.855496831131678,20.822632036740696
espn:401810810,2026-03-12,1.0,5.0,267.0,0.705,6.91275,230.11075,0.9196600506758458,0.55,13.489185944211014,20.59609148449045
espn:401810811,2026-03-12,1.0,11.0,205.0,0.73175,8.307,231.442,0.8841375304270556,0.55,13.737312364505659,20.530967731697405
espn:401810812,2026-03-12,1.0,7.0,217.0,0.6725,6.22575,235.24525,0.8396872510777197,0.55,13.689294610662012,20.69826327104523
espn:401810813,2026-03-12,0.0,-5.0,267.0,0.63875,4.9695,233.626,0.8398936296592252,0.55,13.677520599509256,20.84647749621024
espn:401810814,2026-03-12,1.0,2.0,206.0,0.551,1.7985,226.8985,0.6747516094657199,0.55,13.587729676071717,20.597905178682613
espn:401810815,2026-03-12,1.0,12.0,272.0,0.589,3.141,238.8835,0.7397883785309491,0.55,13.596069983638655,21.138718687517464
espn:401810966,2026-03-12,0.0,-8.0,232.0,0.59575,3.0555,235.988,0.5983015455915491,0.55,13.34074284850735,20.790487151579686
espn:401810816,2026-03-13,1.0,16.0,236.0,0.67,5.8475,226.8385,0.9281259010169062,0.55,12.973000568488388,20.339835735570727
espn:401810817,2026-03-13,0.0,-9.0,193.0,0.27125,-8.3855,228.7395,0.08451287832454832,0.55,13.493846366029219,20.971567412809183
espn:401810818,2026-03-13,1.0,7.0,237.0,0.55625,2.02,223.274,0.42289940466494114,0.55,13.312159854809439,20.280777204042256
espn:401810819,2026-03-13,1.0,2.0,212.0,0.576,2.47475,231.07525,0.7329843294477122,0.55,13.104688566978613,19.780800980685793
espn:401810820,2026-03-13,0.0,-33.0,243.0,0.32225,-5.94925,229.94125,0.1804215225186253,0.55,13.627148433825031,20.447623295569098
espn:401810821,2026-03-13,0.0,-10.0,244.0,0.497,-0.1615,235.392,0.4280844292994956,0.55,13.841456489473932,20.799407106934563
espn:401810822,2026-03-13,1.0,10.0,238.0,0.572,2.4185,236.2535,0.7905926427321418,0.55,13.6300534756838,20.677844127229513
espn:401810823,2026-03-13,1.0,11.0,227.0,0.6615,5.5075,235.0615,0.8052132253428665,0.55,13.398393327186659,20.376793608171035
espn:401810824,2026-03-14,1.0,7.0,201.0,0.67,5.5055,230.8355,0.8287415985678905,0.55,13.23772902540311,20.488873559812895
espn:401810825,2026-03-14,1.0,23.0,221.0,0.655,5.57025,233.98875,0.818719387936425,0.55,13.820765714586873,20.57775797888341
espn:401810826,2026-03-14,1.0,11.0,211.0,0.75375,9.18775,232.21925,0.9419180155682565,0.55,13.447285969202113,21.055811061023036
espn:401810827,2026-03-14,0.0,-4.0,238.0,0.56125,1.6875,234.317,0.6252099082870457,0.55,13.554403113010915,20.478672100504955
espn:401810828,2026-03-14,1.0,13.0,217.0,0.577,2.86225,233.31375,0.7444930722422425,0.55,13.764983651915463,20.813536723428335
espn:401810829,2026-03-14,1.0,2.0,252.0,0.53275,1.31425,239.75725,0.6063910596430043,0.55,13.737357713093882,20.592919230587487
espn:401810830,2026-03-14,0.0,-9.0,227.0,0.71925,7.305,231.181,0.9336792554864454,0.55,12.998171986860307,20.339634682068407
espn:401810831,2026-03-15,1.0,13.0,219.0,0.63175,4.505,233.6465,0.7940133225369236,0.55,13.486325481761146,21.125246454183678
espn:401810832,2026-03-15,0.0,-10.0,250.0,0.732,8.17975,234.75725,0.911494148778846,0.55,13.499386650418602,20.192704683560844
espn:401810833,2026-03-15,1.0,11.0,227.0,0.434,-2.24775,229.72775,0.33225535951055696,0.55,13.369269611220354,20.458705480491673
espn:401810834,2026-03-15,1.0,11.0,257.0,0.52325,0.79275,229.19375,0.8070193821463498,0.55,13.464111461121377,21.05907668767793
espn:401810835,2026-03-15,1.0,6.0,212.0,0.502,0.01375,229.14175,0.6232014225679995,0.55,13.538244381658208,20.407808724542182
espn:401810836,2026-03-15,1.0,3.0,217.0,0.66675,5.61225,230.81075,0.8617930628855123,0.55,13.804017528875425,20.514164239312798
espn:401810838,2026-03-16,1.0,12.0,236.0,0.54025,1.413,233.146,0.5590521341835619,0.55,13.638692422662812,20.740689091734634
espn:401810839,2026-03-16,0.0,-8.0,242.0,0.434,-2.1965,231.8465,0.33410827139578014,0.55,13.62429402758176,21.09180973150479
espn:401810840,2026-03-16,0.0,-19.0,209.0,0.439,-2.1175,223.1065,0.32749299595876535,0.55,13.623534554219034,20.06527243149218
espn:401810841,2026-03-16,1.0,8.0,232.0,0.62825,4.2885,226.677,0.7083959480920177,0.55,13.822075377815011,20.451471120679802
espn:401810842,2026-03-16,1.0,25.0,239.0,0.57375,2.33975,241.90675,0.7985278893410873,0.55,13.785692580987725,21.04226828166346
espn:401810843,2026-03-16,1.0,18.0,240.0,0.63975,4.632,230.8795,0.7031611080110599,0.55,13.260451576021081,20.160964256453607
espn:401810844,2026-03-16,0.0,-8.0,192.0,0.48,-0.685,231.457,0.5296751075072519,0.55,13.056656348391803,20.491062710362293
espn:401810845,2026-03-16,0.0,-4.0,234.0,0.48825,-0.4115,236.1175,0.35683987992336197,0.55,13.293049603082055,20.561072290860707
espn:401810846,2026-03-17,1.0,30.0,242.0,0.5025,0.41925,233.48625,0.618509977977079,0.55,13.829984795273639,20.56952383837555
espn:401810847,2026-03-17,0.0,-5.0,221.0,0.40725,-3.383,225.3675,0.37504232804135784,0.55,13.51942347143546,20.593383494462486
espn:401810848,2026-03-17,0.0,-13.0,247.0,0.25525,-8.48425,229.70875,0.10626987396826888,0.55,13.14538899909394,20.050908294576086
espn:401810849,2026-03-17,1.0,26.0,246.0,0.74775,9.1735,231.9395,0.9601048865286305,0.55,13.902190393963105,20.658202723131556
espn:401810850,2026-03-17,0.0,-7.0,239.0,0.36275,-5.10675,236.03575,0.2707463707846889,0.55,13.980356019697782,20.751047490126858
espn:401810851,2026-03-17,1.0,12.0,220.0,0.601,3.3365,228.6705,0.5858274467308667,0.55,13.503342836127652,20.692098244257394
espn:401810852,2026-03-17,1.0,28.0,220.0,0.607,3.647,237.184,0.6898475432200251,0.55,13.521756209901138,20.168952476516967
espn:401810853,2026-03-17,0.0,-28.0,236.0,0.31225,-6.096,231.9915,0.08745706091815435,0.55,13.169065418624056,20.552771777791918
espn:401810854,2026-03-18,1.0,21.0,219.0,0.6285,4.613,228.256,0.8546417542222423,0.55,13.963263622806812,20.89332343118251
espn:401810855,2026-03-18,0.0,-29.0,213.0,0.2775,-7.69925,222.19575,0.07533534485021712,0.55,13.35763075689323,20.05899877704518
espn:401810856,2026-03-18,0.0,-8.0,246.0,0.37625,-4.23725,229.11075,0.19580908842243308,0.55,13.4287364423277,20.751083934038242
espn:401810857,2026-03-18,0.0,-30.0,248.0,0.519,0.492,235.7895,0.50735606347606,0.55,13.314745059519542,20.64667502892415
espn:401810859,2026-03-18,1.0,36.0,258.0,0.60825,3.56625,234.61825,0.8771927773626401,0.55,13.489722418845393,20.747229138791038
espn:401810860,2026-03-18,1.0,15.0,233.0,0.44775,-1.725,235.745,0.40619618928616674,0.55,13.336224165782458,19.97832513000026
espn:401810861,2026-03-18,0.0,-15.0,255.0,0.3575,-4.61675,234.59125,0.23702081502810565,0.55,13.371550749165184,20.595586261077884
espn:401810862,2026-03-18,0.0,-8.0,240.0,0.4785,-0.86075,229.66925,0.46395546338346577,0.55,13.409282584743302,20.362646056873356
espn:401858693,2026-03-18,1.0,7.0,243.0,0.4515,-1.733,236.199,0.16347955194430605,0.55,13.414347207374648,20.46681213574796
espn:401810863,2026-03-19,1.0,19.0,241.0,0.562,2.4065,229.43,0.683041102997722,0.55,13.546171331782276,20.945407611216353
espn:401810864,2026-03-19,0.0,-22.0,212.0,0.29575,-7.1625,235.4305,0.10124728138556804,0.55,13.211759676515465,20.688926258991792
espn:401810865,2026-03-19,0.0,-8.0,260.0,0.55675,1.75425,234.11925,0.45152324593141324,0.55,13.476418550100766,20.744011893495916
espn:401810866,2026-03-19,0.0,-5.0,225.0,0.3745,-4.43075,236.56575,0.3312448139520935,0.55,13.276208210083933,20.858695475448602
espn:401810867,2026-03-19,1.0,6.0,204.0,0.47025,-0.97425,228.30375,0.5056003373374218,0.55,13.175814469606802,20.18851123628238
espn:401810868,2026-03-19,1.0,1.0,201.0,0.67675,6.11225,232.75825,0.8692202776828598,0.55,13.874910808271887,20.782463928454202
espn:401810869,2026-03-19,1.0,32.0,224.0,0.4515,-1.63275,233.22325,0.45169657499127924,0.55,13.286774530995098,20.459738743138928
espn:401810870,2026-03-19,0.0,-21.0,257.0,0.43375,-2.07725,233.82275,0.3333630334954617,0.55,13.288464261813703,20.403181919433546
espn:401810871,2026-03-20,0.0,-1.0,185.0,0.23425,-9.44975,226.72075,0.1136432046882117,0.55,13.31038973649908,20.943895755983412
espn:401810872,2026-03-20,1.0,14.0,216.0,0.62375,4.28725,227.80075,0.849776935998432,0.55,13.488040533654248,20.24470423190964
espn:401810873,2026-03-20,1.0,22.0,212.0,0.463,-1.40875,230.42425,0.4653075370692894,0.55,13.561440684436885,20.376978724469925
espn:401810874,2026-03-20,0.0,-5.0,229.0,0.3545,-4.84025,232.36075,0.1517628561287273,0.55,13.749044691814046,20.798367951296083
espn:401810875,2026-03-20,0.0,-4.0,212.0,0.608,3.363,233.966,0.7019618759592741,0.55,13.446253418703666,20.547879306634055
espn:401810876,2026-03-20,1.0,6.0,236.0,0.56525,1.90975,235.41525,0.5993722361371585,0.55,13.130902670323165,20.444090036915316
espn:401810877,2026-03-21,0.0,-21.0,243.0,0.2405,-9.305,233.0735,0.053983673080412235,0.55,13.507589533295718,20.595693670036948
espn:401810878,2026-03-21,1.0,23.0,225.0,0.697,7.2505,231.438,0.9190318067772223,0.55,13.691448051612365,21.327509371701144
espn:401810879,2026-03-21,0.0,-1.0,209.0,0.481,-0.51925,234.51225,0.4022706552916924,0.55,13.62263298476106,20.551310175691963
espn:401810880,2026-03-21,0.0,-5.0,217.0,0.433,-2.32825,236.61625,0.44086026090548636,0.55,13.537392730415263,20.8486686850144
espn:401810881,2026-03-21,1.0,16.0,236.0,0.611,3.89375,225.07775,0.8120172786846966,0.55,13.819097688977381,20.710919944258876
espn:401810882,2026-03-21,1.0,1.0,245.0,0.446,-1.6785,228.975,0.6176844095051003,0.55,13.233258772879793,20.767182644740235
espn:401810883,2026-03-21,1.0,15.0,253.0,0.773,10.29925,236.72425,0.9814493256252748,0.55,13.930495304815977,20.320278343012433
espn:401810884,2026-03-21,0.0,-7.0,269.0,0.37025,-4.45,234.775,0.3009161223617707,0.55,13.19575689378976,20.34841210021067
espn:401810885,2026-03-21,0.0,-10.0,242.0,0.46125,-1.19675,237.46475,0.3112122100837883,0.55,13.584183429176006,20.874739697478866
espn:401810886,2026-03-21,0.0,-3.0,213.0,0.60275,3.7895,230.726,0.8096076452787476,0.55,13.784563458811453,20.570547489067955
espn:401810887,2026-03-22,1.0,16.0,240.0,0.60075,3.41525,235.98775,0.6918524549180867,0.55,13.728704142689507,20.725445711431636
espn:401810888,2026-03-22,1.0,4.0,248.0,0.5675,2.23025,228.97175,0.6471678363191479,0.55,13.436898263271178,20.125107501265678
espn:401810889,2026-03-22,1.0,32.0,258.0,0.807,11.3695,229.3765,0.9558803499679788,0.55,13.171597084256714,20.189595036800515
espn:401810890,2026-03-22,0.0,-10.0,194.0,0.6,3.372,231.0465,0.7444296312865322,0.55,13.781586120617613,20.690078244172977
espn:401810891,2026-03-22,1.0,22.0,218.0,0.4485,-1.54525,225.01375,0.5129560677099284,0.55,12.910149202759046,20.523280949631324
espn:401810892,2026-03-23,1.0,39.0,253.0,0.64625,5.159,236.9375,0.8886285245762453,0.55,13.658119160411509,21.008250611366954
espn:401810893,2026-03-23,1.0,3.0,223.0,0.57325,2.3555,233.7525,0.5318316307515363,0.55,13.224186922075777,20.307738518850396
espn:401810894,2026-03-23,0.0,-2.0,254.0,0.68825,6.53025,234.05875,0.9304773296100449,0.55,13.509647846539155,21.00731535531135
espn:401810895,2026-03-23,0.0,-20.0,226.0,0.3695,-4.47425,231.20125,0.27272308427954817,0.55,13.225329369717036,19.684517988447165
espn:401810896,2026-03-23,0.0,-25.0,247.0,0.443,-1.792,238.9065,0.2581193521024105,0.55,13.636522137260659,21.155265485216677
espn:401810897,2026-03-23,1.0,8.0,256.0,0.48475,-0.4325,233.954,0.36605393662865426,0.55,13.585081661513854,20.892184758899678
espn:401810898,2026-03-23,0.0,-16.0,270.0,0.4685,-1.03075,231.79225,0.29200317673679654,0.55,13.26860220360457,20.45373046506431
espn:401810899,2026-03-23,0.0,-6.0,268.0,0.4615,-1.29575,234.14925,0.5011808263359271,0.55,13.57995883416073,21.059035458384603
espn:401810900,2026-03-23,1.0,35.0,233.0,0.6765,5.949,219.3115,0.857725762644222,0.55,13.379906539284944,20.32066602624038
espn:401810901,2026-03-23,1.0,33.0,225.0,0.66225,5.50975,234.59175,0.8219267962448934,0.55,13.188229787863873,20.328147528427177
espn:401810902,2026-03-24,1.0,44.0,224.0,0.74325,8.7845,234.078,0.9210960827502658,0.55,13.600112490343601,20.956488637173926
espn:401810903,2026-03-24,1.0,5.0,237.0,0.665,5.47775,233.03275,0.7756253803297883,0.55,13.019600797931554,20.828638396148225
espn:401810904,2026-03-24,1.0,5.0,267.0,0.636,4.739,230.7515,0.7373565653738918,0.55,13.46598971483344,20.788344035781204
espn:401810905,2026-03-24,0.0,-2.0,248.0,0.48,-0.9215,234.083,0.4746970234270204,0.55,13.722548515126482,21.269146926945613
espn:401810906,2026-03-25,0.0,-1.0,259.0,0.5695,2.1645,233.3405,0.6631952610339924,0.55,13.615081334681774,20.820796328430863
espn:401810907,2026-03-25,0.0,-7.0,267.0,0.32075,-5.81925,238.73175,0.07683155807079739,0.55,13.432091402216559,20.974777518188365
espn:401810908,2026-03-25,1.0,20.0,294.0,0.519,0.6935,238.6205,0.6578808049805572,0.55,13.473346197214706,20.831658113313974
espn:401810909,2026-03-25,1.0,10.0,228.0,0.461,-1.11825,226.07625,0.39290531475531815,0.55,13.986896258194669,20.889206206495736
espn:401810910,2026-03-25,0.0,-17.0,223.0,0.54525,1.6445,236.881,0.7398541827020771,0.55,13.629732930252155,20.85686551234389
espn:401810911,2026-03-25,0.0,-25.0,221.0,0.308,-6.68375,238.93925,0.06836362334317478,0.55,13.743625283654236,20.810875989191324
espn:401810912,2026-03-25,0.0,-23.0,243.0,0.6045,3.408,241.0365,0.7087009570106517,0.55,13.74254474251403,20.434888493701155
espn:401810913,2026-03-25,1.0,2.0,218.0,0.55025,1.791,231.302,0.6307432811156244,0.55,13.794231366770676,20.508225081659308
espn:401810914,2026-03-25,1.0,7.0,277.0,0.66075,5.46225,235.94775,0.8903563930413334,0.55,13.349965353419462,20.493267673494632
espn:401810915,2026-03-25,1.0,3.0,215.0,0.66725,6.04325,228.83225,0.7981652934810822,0.55,13.617245662669818,20.41789925377976
espn:401810916,2026-03-25,1.0,31.0,229.0,0.63625,4.388,232.2285,0.7777346594360153,0.55,13.473750628536955,20.821005925507055
espn:401810917,2026-03-25,1.0,25.0,213.0,0.581,2.721,234.288,0.6401898691697592,0.55,13.335728664006327,20.465447857303293
espn:401810918,2026-03-26,1.0,11.0,217.0,0.511,0.5145,229.447,0.5841225651714488,0.55,13.629849219635556,20.487891326342005
espn:401810919,2026-03-26,1.0,21.0,237.0,0.5955,3.111,229.266,0.7698760557633939,0.55,13.478878996415096,20.022281188715738
espn:401810920,2026-03-26,1.0,4.0,238.0,0.7135,7.41725,234.98075,0.8324013035657353,0.55,13.330778388282509,20.347908478207287
espn:401810921,2026-03-27,0.0,-1.0,227.0,0.31025,-6.3015,238.719,0.11824187171955192,0.55,13.400992416608556,20.67289382258807
espn:401810922,2026-03-27,1.0,7.0,211.0,0.539,1.565,230.873,0.6511602011440233,0.55,13.783532747449037,20.98158409176962
espn:401810923,2026-03-27,1.0,21.0,277.0,0.57625,2.54975,239.90925,0.6280854963249125,0.55,13.739651558081814,20.76234607257812
espn:401810924,2026-03-27,0.0,-10.0,228.0,0.41175,-2.89475,232.05825,0.24587908067926537,0.55,13.599197492407411,21.092803439502774
espn:401810925,2026-03-27,1.0,18.0,244.0,0.69675,6.99175,237.91125,0.8900864284973274,0.55,13.654163538551163,21.347994599903288
espn:401810926,2026-03-27,1.0,13.0,225.0,0.58825,2.8345,230.3915,0.6026505850095132,0.55,13.511906221921464,20.04811032865691
